index,question,answers
663,What is Julie Dreyfus's nationality?,['France']
664,What is Keenan Wynn's birth place?,['New York City']
665,How high is Keenan Wynn?,['1.77']
666,What's the Kirk Douglas's height?,['1.75']
667,What is Lawrence Bender's birth place?,['The Bronx']
668,Where was Lawrence Tierney born?,['Brooklyn']
669,Where is Lee Unkrich from?,['Cleveland']
670,How high is Louis Lombardi?,['1.727']
671,What is Lucie Skeaping's birth place?,['London']
672,Where is Marian Glinka from?,['Warsaw']
673,Who is Marianne Muellerleile's father?,['Cecil Muellerleile']
674,Where is Marissa Jaret Winokur from?,['New York City']
675,How tall is Martin Scorsese?,['1.63']
676,Where was Martin Sheen born?,['Dayton']
677,Who are the parents of Martin Sheen?,"['Francisco Estévez', 'Mary Ann Phelan']"
678,How high is Matthew Broderick?,['1.73']
679,When was Matthew Vaughn born?,['1971-03-07']
680,What's the Matthew Vaughn's height?,['1.83']
681,Who is Mel Gibson's father?,['Hutton Gibson']
682,Where is Michael Douglas from?,['New Brunswick']
683,Who is Michael Douglas married to?,"['Brenda Vaccaro', 'Diandra Luker', 'Catherine Zeta-Jones']"
684,How tall is Michel Gondry?,['1.77']
685,Who are the parents of Natalie Hallam?,"['Paul Hallam', 'Glynis Cook']"
686,Where is Omar Sharif from?,['Alexandria']
687,What is Orson Welles's nationality?,['United States of America']
688,Who is Orson Welles's mother?,['Beatrice Ives']
689,How did Paul Stewart die?,"['Myocardial infarction', 'Heart failure']"
690,What is Peter Jackson's nationality?,['New Zealand']
691,Who is Peter Jackson's mother?,['Joan Ruck']
692,How high is Quentin Tarantino?,['1.85']
693,Who is Ralph Guggenheim married to?,['Marsha Guggenheim']
694,What is Richard Marquand's nationality?,['United Kingdom']
695,What is Ridley Scott's birth place?,['South Shields']
696,Where is Roberto Benigni from?,['Castiglion Fiorentino']
697,Who is Roberto Benigni married to?,['Nicoletta Braschi']
698,How tall is Robert Zemeckis?,['1.83']
699,What is Roman Polanski's birth place?,['Paris']
700,Who is Roman Polanski's father?,['Ryszard Liebling']
701,Who is Ron Bozman married to?,['Kyle McCarthy']
702,Where was Sam Mendes born?,['Reading']
703,Who are the parents of Sam Mendes?,"['Valerie Helene Mendes', 'Jameson Peter Mendes']"
704,When did Sam Spiegel die?,['1985-12-31']
705,How did Saul Zaentz die?,"[""Alzheimer's disease""]"
706,When did Scatman Crothers die?,['1986-11-22']
707,How tall is Scatman Crothers?,['1.77']
708,When did Sergio Leone die?,['1989-04-30']
709,What's the Sergio Leone's height?,['1.73']
710,What is Sigourney Weaver's birth place?,['Manhattan']
711,Where did Stanley Kubrick die?,['St Albans']
712,Who is Stanley Kubrick's mother?,['Gertrude Kubrick']
713,When was Steven Spielberg born?,['1946-12-18']
714,Where was Stuart Holmes born?,['Chicago']
715,When was Suzanne Todd born?,['1969-10-03']
716,Where was Sydney Lassick born?,['Chicago']
717,What is Terry Jones's nationality?,['United Kingdom']
718,Where was Tip Tipping born?,['United Kingdom']
719,Where was Tom Powers born?,['Owensboro']
720,Who is Tony Kaye married to?,"['Daniela Torchia', 'Denise Della-Quilla']"
721,Where was Vittorio De Sica born?,['Sora']
722,Who is Vittorio De Sica's father?,['Umberto De Sica']
723,What is Walter Hill's nationality?,['United States of America']
724,Where is Wolfgang Petersen from?,['Emden']
725,Who is Alfred Hitchcock?,['director']
726,What movies did Curtis Hanson direct?,"['Bad Influence', 'Wonder Boys', 'L.A. Confidential', 'The Bedroom Window', 'Too Big to Fail', 'Chasing Mavericks', '8 Mile', 'The River Wild', 'Lucky You', 'In Her Shoes', 'Evil Town', 'The Hand That Rocks the Cradle', ""Losin' It"", 'The Children of Times Square', 'The Little Dragons', 'Sweet Kill']"
727,Who is Florian Henckel von Donnersmarck?,['director']
728,What movies did Frank Darabont direct?,"['The Shawshank Redemption', 'The Majestic', 'The Green Mile', 'The Mist', 'Fahrenheit 451', 'The Woman in the Room', 'Buried Alive']"
729,What movies did Irvin Kershner direct?,"['A Fine Madness', 'Eyes of Laura Mars', 'The Young Captives', 'The Return of a Man Called Horse', 'RoboCop 2', 'Star Wars Episode V: The Empire Strikes Back', 'S*P*Y*S', 'Never Say Never Again', 'The Flim-Flam Man', 'The Luck of Ginger Coffey', 'Raid on Entebbe', 'Up the Sandbox', 'Face in the Rain', 'Loving', 'The Hoodlum Priest', 'Stakeout on Dope Street', 'Return of the Ewok', 'Traveling Man']"
730,Who is Jonathan Demme?,['director']
731,What movies did Mel Gibson direct?,"['The Passion of the Christ', 'Apocalypto', 'Braveheart', 'The Man Without a Face']"
732,What movies did Roberto Benigni direct?,"['Life Is Beautiful', 'Pinocchio', 'Nothing Left to Do but Cry', 'The Tiger and the Snow', 'Johnny Stecchino', 'The Monster', 'You Disturb Me', 'The Little Devil', ""L'addio a Enrico Berlinguer""]"
733,Who is Sam Mendes?,['director']
734,What movies did Steven Spielberg direct?,"['Amistad', 'Indiana Jones and the Raiders of the Lost Ark', 'The Sugarland Express', 'Something Evil', 'The Terminal', ""Schindler's List"", 'Indiana Jones and the Kingdom of the Crystal Skull', 'The Color Purple', 'Catch Me If You Can', 'Minority Report', '1941', 'Munich', 'Savage', 'War of the Worlds', 'Indiana Jones and the Temple of Doom', 'Twilight Zone: The Movie', 'Close Encounters of the Third Kind', 'Duel', 'Jaws', 'E.T. the Extra-Terrestrial', 'Hook', 'The Adventures of Tintin: The Secret of the Unicorn', 'Always', 'Empire of the Sun', 'War Horse', 'Saving Private Ryan', 'A.I. Artificial Intelligence', 'Jurassic Park', 'Amblin', 'Lincoln', 'The Lost World: Jurassic Park', 'Robopocalypse', 'Indiana Jones and the Last Crusade', 'Amazing Stories: Book One', 'The Attack of the Mummies', 'Slipstream', 'Firelight']"
735,Who is Bill Gratton?,['actor']
736,Who is Bruce Boa?,['actor']
737,Who is Eddie Powell?,['actor']
738,What movies did Ian Bannen star in?,"['Braveheart', 'Rotten to the Core', ""The Driver's Seat"", 'Circles in a Forest', 'Strictly Sinatra', 'Night Crossing', 'Lamb', 'Carlton-Browne of the F.O.', 'The Deserter', 'The Voyage', 'Macbeth', 'The Inglorious Bastards', 'The Long Arm', 'To Walk with Lions', 'The Flight of the Phoenix', 'Behind the Mask', 'A Tale of Two Cities', 'Small Miracles', 'Perry Mason: The Case of the Desperate Deception', 'Mister Moses', 'Sweeney!', 'The Hill', 'Penelope', 'Gorky Park', 'Fright', 'The Mackintosh Man', 'Doomwatch', 'Damage', 'The Gamble', 'Too Late the Hero', 'The Big Man', 'Gandhi', 'Hope and Glory', 'Ring of Darkness', 'Something to Believe In', 'Speaking of the Devil', 'A French Mistress', 'The Treaty', 'Defence of the Realm', 'The Lady and the Highwayman', 'Waking Ned', 'The Offence', 'Ghost Dad', 'The Birthday Present', 'The Watcher in the Woods', 'From Beyond the Grave', 'Bite the Bullet']"
739,What movies did Julie Dreyfus star in?,"['Inglourious Basterds', 'Kill Bill Volume 2', 'Rampo', 'Tokyo!', 'Vinyan', 'Tōki Rakujitsu', 'Kill Bill: Vol. 3', 'Kill Bill Volume 1']"
740,Who is Lucie Skeaping?,['actor']
741,Who is Natalie Hallam?,['actor']
742,What movies did Paul Weigel star in?,"['The Great Dictator', 'The Vanishing Legion', 'Miss V from Moscow', 'Skyscraper', 'The Black Room', 'Joy Tonic', 'The Inner Shrine', ""The Siren's Song"", 'Die Maske fällt', ""For Heaven's Sake""]"
743,Who is Sigourney Weaver?,['actor']
744,Who played Brooks Hatlen in The Shawshank Redemption?,['James Whitmore']
745,Who did Ed Vantura play in The Godfather?,['Wedding Guest #2']
746,Who played Photographer in Court in The Godfather: Part II?,['Gary Kurtz']
747,Who played Det. Gerard Stephens in The Dark Knight?,['Keith Szarabajka']
748,Who did Maciej Orłoś play in Schindler's List?,['German Clerk']
749,Who played Monster Joe in Pulp Fiction?,['Dick Miller']
750,Who played Gríma Wormtongue in The Lord of the Rings: The Return of the King?,['Brad Dourif']
751,Who did Leonard Termo play in Fight Club?,['Desk Sergeant']
752,Who played Figwit in The Lord of the Rings: The Fellowship of the Ring?,['Bret McKenzie']
753,Who played Han Solo in Star Wars: Episode V - The Empire Strikes Back?,['Harrison Ford']
754,Who did Dick Stilwell play in Forrest Gump?,['Policeman at War Rally']
755,Who played Businessman #2 in Inception?,['Andrew Pleavin']
756,Who played Gimli in The Lord of the Rings: The Two Towers?,['John Rhys-Davies']
757,Who did Adryn White play in The Matrix?,['Potential #3']
758,Who played Bleeding Man in Goodfellas?,['John Di Benedetto']
759,Who played General Dodonna in Star Wars: Episode IV - A New Hope?,['Alex McCrindle']
760,Who did Yoshio Tsuchiya play in Seven Samurai?,['Rikichi']
761,Who played TV Anchor Woman in Se7en?,['Beverly Burke']
762,Who played Dr. Walters in The Usual Suspects?,['Clark Gregg']
763,Who did Ray Walker play in It's a Wonderful Life?,['Joe']
764,Who played Old Maid Teacher in Life Is Beautiful?,['Cristiana Porchiella']
765,Who played Timmy McBain in Once Upon a Time in the West?,['Enzo Santaniello']
766,Who did Takashi Naitō play in Spirited Away?,['Akio Ogino']
767,Who played Private Caparzo in Saving Private Ryan?,['Vin Diesel']
768,Who played The Tramp in City Lights?,['Charlie Chaplin']
769,Who did Pat McCaffrie play in Psycho?,['Police Guard']
770,Who played Ratty Nepalese in Raiders of the Lost Ark?,['Malcolm Weaver']
771,Who played Sunbather #2 in Rear Window?,['Jonni Paris']
772,Who did Henry Bergman play in Modern Times?,['Cafe Proprietor']
773,Who played Tower Guard #2 in The Green Mile?,['Robert Malone']
774,Who played Yehuda in The Pianist?,['Paul Bradley']
775,Who did Martin Sheen play in The Departed?,['Captain Queenan']
776,Who played Betty in Back to the Future?,['Cristen Kauffman']
777,Who played Mrs. Jankis in Memento?,['Harriet Sansom Harris']
778,Who did Mark Lewis play in Gladiator?,['Assassin #2']
779,Who played Gilles de Marais in Apocalypse Now?,['Gian-Carlo Coppola']
780,Who played Blind Stagehand 2 in The Prestige?,['Sam Menning']
781,Who did Eddie Powell play in Alien?,['Alien']
782,Who played Simba in The Lion King?,['Matthew Broderick']
783,Who played Napaloni in The Great Dictator?,['Jack Oakie']
784,Who did Ernst Ludwig Petrowsky play in The Lives of Others?,['Bandleader']
785,Who played Ringo Kid in Cinema Paradiso?,['John Wayne']
786,Who played Maj. Saint-Auban in Paths of Glory?,['Richard Anderson']
787,Who did Wade Williams play in The Dark Knight Rises?,['Warden at Blackgate']
788,Who played Ship's Computer in WALL·E?,['Sigourney Weaver']
789,Who played Lester Burnham in American Beauty?,['Kevin Spacey']
790,Who did Yoshiko Shinohara play in Grave of the Fireflies?,"[""Seita and Setsuko's mother""]"
791,Who played Bishop in Aliens?,['Lance Henriksen']
792,Who played Man at United Nations Building in North by Northwest?,['Bert Stevens']
793,Who did Masahiko Nishimura play in Princess Mononoke?,['Kouroku']
794,Who played Man Walking Past Elster's Office in Vertigo?,['Alfred Hitchcock']
795,Who played Brückenwilli in Das Boot?,['Martin Hemme']
796,Who did Mike Quinn play in Star Wars: Episode VI - Return of the Jedi?,['Nien Nunb']
797,Who played Bugsy in Once Upon a Time in America?,['James Russo']
798,Who played Elder Stewart in Braveheart?,['Alan Tall']
799,Who did Bonnie Hunt play in Toy Story 3?,['Dolly']
800,Who played Rape Victim in Film in A Clockwork Orange?,['Cheryl Grunwald']
801,Who played Young Tyrone in Requiem for a Dream?,"[""Te'ron A. O'Neal""]"
802,Who did Billie Perkins play in Taxi Driver?,['Friend of Iris']
803,Who played Mr. Jackson in Double Indemnity?,['Porter Hall']
804,Who played Young Bully #2 in Eternal Sunshine of the Spotless Mind?,['Amir Ali Said']
805,Who did Bruce Boa play in Full Metal Jacket?,['Poge Colonel']
806,Who played Archbishop Colloredo in Amadeus?,['Nicholas Kepros']
807,Who played Greer in The Sting?,"[""Kenneth O'Brien""]"
808,Who did Jean Heremans play in Singin' in the Rain?,['Fencer #2']
809,Who played Antonio Ricci in Bicycle Thieves?,['Lamberto Maggiorani']
810,Who played Policeman #2 in Snatch.?,['Andy Shield']
811,Who did Gloria Graham play in Monty Python and the Holy Grail?,['Girl in Castle Anthrax #13']
812,Who played The Kid in The Kid?,['Jackie Coogan']
813,Who played Look-Alike Dancer #1 in L.A. Confidential?,['April Breneman']
814,Who did Mara Krup play in For a Few Dollars More?,['Mary']
815,Who played Tajômaru in Rashomon?,['Toshiro Mifune']
816,Who played Motorcycle Rider #2 in Inglourious Basterds?,['Andreas Tietz']
817,Who directed titanic,['James Cameron']
818,Who directed Blade Runner,['Ridley Scott']
819,Who directed batman dark knight,['Christopher Nolan']
820,who directed matrix reloaded,"['Andy Wachowski', 'Lana Wachowski']"
821,who played neo in matrix,['Keanu Reeves']
822,who wrote music for inception,['Hans Zimmer']
823,who dubbed woody in toy story,['Randy Newman']
824,who played hulk in the incredible hulk,['Edward Norton']
825,who directed norwegian wood,['Tran Anh Hung']
826,who directed godfather,['Francis Ford Coppola']
827,who did harrison ford play in enders game,['Colonel Hyrum Graff']
828,who wrote the script for goodfellas,['Nicholas Pileggi']
829,who played terminator in terminator 2 : judgment day,['Arnold Schwarzenegger']
830,who did arnold schwarzenegger play in terminator 2 judgment day,['Terminator']
831,who starred in the prestige,"['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Scarlett Johansson', 'Rebecca Hall', 'Andy Serkis']"
832,Who was the executive producer for The Shining,['Jan Harlam']
833,which studio animated wall-e,"['Walt Disney Pictures', 'Pixar']"
834,who directed yojimbo,['Akira Kurosawa']
835,when was fight club released,['1999-09-10']
836,when was inception released,['2010-07-08']
837,when was metropolis released,"['1927', '2001']"
838,when was ikiru released,['1952']
839,when was wall-e released,['2008-06-23']
840,when was wolf of wall street released,['2013']
841,who directed big lebowski,['Joel Coen']
842,when was big lebowski released,['1998-02-15']
843,when was beautiful mind released,['2001-12-13']
844,when was The Grand Budapest Hotel released,['2014-02-06']
845,where was the lord of the rings filmed,['New Zealand']
846,when was lord of the rings filmed/released,['2001-12-18']
847,when was Nausicaä of the Valley of the Wind released,['1984-03-11']
848,when was astroboy released,"['1963', '2009']"
849,when was jurassic park released,['1993']
850,when was harry potter released,['2001']
851,when was rocky released,['1976']
852,when was roman holiday released,['1953-08-27']
853,what did Andrew Stanton direct,"['John Carter', 'Finding Nemo', 'WALL-E', 'Finding Dory', 'Monsters, Inc.', 'Monsters University']"
854,what did Wes Anderson direct,"['Fantastic Mr. Fox', 'Rushmore', 'Hotel Chevalier', 'The Royal Tenenbaums', 'Bottle Rocket']"
855,what did Hayao Miyazaki direct,"['Castle in the Sky', 'The Castle of Cagliostro', ""Kiki's Delivery Service"", 'Princess Mononoke', 'Nausicaä of the Valley of the Wind', 'Porco Rosso']"
856,what did Stanley Kubrick direct in 1968,['2001: A Space Odyssey']
857,Who played Ryan Stone in Gravity,['Sandra Bullock']
858,Who starred in Eyes Wide Shut,"['Tom Cruise', 'Nicole Kidman', 'Sydney Pollack', 'Marie Richardson']"
859,Who wrote the screenplay for the X-Men days of future past?,['Simon Kinberg']
860,who directed Mad Max,['George Miller']
861,when was frozen released,['2013']
862,Who directed Guardians of the Galaxy?,['James Gunn']
863,Who directed Hobbit?,['Peter Jackson']
864,Who played M in Skyfall?,['Judi Dench']
865,When was Goldfinger released?,['1964-09-17']
866,who won the oscar for best actor in 2014?,['Eddie Redmayne']
867,who won the academy award for best actress in 2014?,['Julianne Moore']
868,who received the academy award for best actor in 2011?,['Jean Dujardin']
869,Did Jean Dujardin get an oscar?,['yes']
870,Has Brad Pitt received an academy award?,['no']
871,For what role did Sean Penn win an oscar?,"['Harvey Milk', 'Jimmy Markum']"
872,Did Leonardo DiCaprio get an oscar?,['no']
873,What is the name of the main song from Frozen?,['Let it go']
874,When did Big Bang theory serie started?,['2007-09-24']
875,Which network broadcasts House of Cards?,['Netflix']
876,When did Mentalist serie ended?,['2015-02-18']
877,When was the last Frozen movie made?,['2013']
878,When was Forrest Gump released?,['1994-06-23']
879,Who directed The Godfather?,['Francis Ford Coppola']
880,When was Pulp Fiction released?,['1994-05-12']
881,Who played Vincent Vega in Pulp Fiction?,['John Travolta']
882,Who created music for The Dark Knight?,"['James Newton Howard', 'Hans Zimmer']"
883,What is original title of Seven Samurai?,['Shichinin no samurai']
884,Who directed Seven Samurai?,['Akira Kurosawa']
885,How long is Seven Samurai?,['207']
886,Who directed Léon?,['Luc Besson']
887,Who directed Psycho?,['Alfred Hitchcock']
888,Who directed The Pianist?,['Roman Polanski']
889,who directed avatar,['James Cameron']
890,Who wrote the Fight club?,['Jim Uhls']
891,Who played Daniel Jackson in Stargate: SG-1?,['Michael Shanks']
892,Which Goa'uld was first killed by Tau'ri?,['Ra']
893,Who had written the Nineteen Eighty-Four?,['George Orwell']
894,Who wrote Knight Rider?,['Glen A. Larson']
895,When was Star Wars: Episode IV released?,['1977-05-25']
896,When was The Phantom Menace released?,['1999-05-19']
897,Who has directed Harry Potter and the Order of Phoenix?,['David Yates']
898,what's the name of the movie based on the book Ender's Game,"[""Ender's Game""]"
899,who directed Frozen?,"['Jennifer Lee', 'Chris Buck']"
900,who wrote harry potter?,['J. K. Rowling']
901,who wrote enders shadow,['Orson Scott Card']
902,Who directed Skyfall?,['Sam Mendes']
903,Who directed Inception?,['Christopher Nolan']
904,Who directed Psycho?,['Alfred Hitchcock']
905,Who directed Terminator 2: Judgment Day?,['James Cameron']
906,Who directed WALL·E?,['Andrew Stanton']
907,Who directed Jaws?,['Steven Spielberg']
908,Who directed Rocky?,['John G. Avildsen']
909,Who directed The Imitation Game?,['Morten Tyldum']
910,who portrayed James Bond,"['Roger Moore', 'Sean Connery', 'Daniel Craig', 'Pierce Brosnan']"
911,Who directed The Graduate?,['Mike Nichols']
912,Who directed Underground?,['Emir Kusturica']
913,Who directed Network?,['Sidney Lumet']
914,How old is Tom Cruise?,['53']
915,Who played M in Skyfall?,['Judi Dench']
916,Who played Morpheus in Matrix?,['Laurence Fishburne']
917,Who played Trinity in Matrix?,['Carrie-Anne Moss']
918,"How many GlobalEye modules are presented in GlobalEye product video by NSA Litomerice, 2013?",['7']
919,when was Fight Club released,['1999-09-10']
920,Who directed Frozen?,['Jennifer Lee']
921,Who is the star in the movie Amadeus,['Tom Hulce']
922,Who played Captain Miller in Saving Private Ryan?,['Tom Hanks']
923,Who played Martin Riggs in Lethal Weapon?,['Mel Gibson']
924,Who directed Saturnin?,['Jiří Věrčák']
925,Who directed The Border?,['Mátyás Szabó']
926,Who directed Tosca's Kiss?,['Daniel Schmid']
927,Who directed Babe?,['Chris Noonan']
928,Who directed Intouchables?,"['Olivier Nakache', 'Éric Toledano']"
929,Who portrayed Indy?,['Harrison Ford']
930,Who portrayed Indy in Raiders of the Lost Ark?,['Harrison Ford']
931,Who directed Batman?,['Christian Bale']
932,Who was the main character in Minority report?,['Tom Cruise']
933,Who wrote Minority Report?,"['Scott Frank', 'Jon Cohen']"
934,Who was the main actor in Kill Bill?,['Uma Thurman']
935,What was the emperor's last name in Star Wars?,['Palpatine']
936,What movie did Christian Bale play a psychopath?,['American Psycho']
937,Who wrote the screenplay for Ender's Game?,['Gavin Hood']
938,Who directed Braindead?,['Peter Jackson']
939,What is the answer to the Universe.,['42']
940,What was the character of Matt Damon in Bourne Supremacy?,['Jason Bourne']
941,Who is Jason Bourne?,"['Robert Ludlum', 'Matt Damon', 'Film character', 'Fictional Character', 'Book Character']"
942,How many Academy Awards did Lord of the Rings: The Return of the King won?,['11']
943,who is jack nicolson,['actor']
944,Who is the star in As good as it gets,['Jack Nicholson']
945,Whwn was shat the movie As good as it gets,['1997']
946,Who landed on the Mars?,['Nobody']
947,How is Thor's hammer called?,['Mjölnir']
948,Who killed Adolf Hitler?,['Adolf Hitler']
949,"Who was assassinated in november 22, 1963?",['John F. Kennedy']
950,Who wrote Harry Potter?,['J. K. Rowling']
951,Who played Hermiona in Harry Potter movies?,['Emma Watson']
952,Who is the director of Scarface?,['Brian De Palma']
953,Who is the director of Titanic?,['James Cameron']
954,Who is the director of Jurassic World?,['Colin Trevorrow']
955,Who played the last Doctor in Doctor Who tv show?,['Peter Capaldi']
956,Who played the twelfth doctor in Doctor Who TV Show ?,['Peter Capaldi']
957,Who played the eleventh doctor in Doctor Who TV Show ?,['Matt Smith']
958,Who are daleks?,['Kaled mutants in mechanical shells']
959,what is TARDIS?,['Fictional Object']
960,Who is Banksy?,"['Visual Artist', 'Street artist']"
961,What kind of fish act in Jaws horror?,"['Sharks', 'Savage Sharks', 'Incredible sharks']"
962,Who wrote Ender's Game?,['Orson Scott Card']
963,Who was director of Pupl Fiction?,[' Quentin Tarantino']
964,who is jason statham,['Actor']
965,who is tom cruise,['Actor']
966,what is porn,['Theatre Genre']
967,Who directed Fight Club?,['David Fincher']
968,Who played Leonard  Shelby in Memento?,['Guy Pearce']
969,When was Titanic released?,['1997']
970,How many Academy Awards did Ben Hur receive?,['11']
971,What role did Tom Hardy play in Inception?,['Eames']
972,Who played Eames in Inception?,['Tom Hardy']
973,Who plays Mike Ehrmantraut?,['Jonathan Banks']
974,Who played Chico in Magnificent Seven?,['Horst Bucholz']
975,Who played Lee in Magnificent Seven?,['Robert Vaughn']
976,Who played Chris in Magnificent Seven?,['Yul Brynner']
977,Who played Bernardo in Magnificent Seven?,['Charles Bronson']
978,Who played Vin in Magnificent Seven?,['Steve McQueen']
979,Which actors played Batman,"['Adam West', ' Michael Keaton', 'Christian Bale']"
980,How many seasons do The Simpsons series have?,['26']
981,Who plays the character Jack Sparrow?,['Johnny Depp']
982,Who played Doctor Who?,"['David Tennant', 'Peter Capaldi']"
983,Who played Doctor Who in series 7 of Doctor Who?,['Matt Smith']
984,How old is Tom Cruise,['53']
985,How many Oscars Tom Hanks won?,['2|two']
986,What is the best movie ever?,['Pulp Fiction']
987,What is the worst movie ever?,['Fifty Shades of Grey']
988,Who directed The Machinist?,['Brad Anderson']
989,Who wrote Ostre sledovane vlaky?,['Bohumil Hrabal']
990,Who wrote Closely Watched Trains?,['Bohumil Hrabal']
991,Who plays Riddick in Pitch Black?,['Vin Diesel']
992,Who plays Mad Max?,"['Mel Gibson', 'Tom Hardy']"
993,Who wrote the script of The Prestige?,['Jonathan Nolan']
994,who directed pelisky,['Jan Hřebejk']
995,Who played Alan Turing in The Imitation Game?,['benedict cumberbatch']
996,Why does Harry Potter have scar on forehead?,['Voldemort tried to kill him when he was a child']
997,Who is the main character of Ironman movie,['Ironman']
998,Who plays Ironman,['Robert Downey']
999,Who played Rory in Gilmore Girls,['Alexis Bledel']
1000,who is Lord Voldemort,['Ralph Fiennes']
1001,who played Harry Potter,['daniel radcliffe']
1002,who was main character in the Top Gun,['Tom Cruise']
1003,how many series does the futurama have,['7']
1004,who is the main character of matrix,['Keanu Reeves']
1005,how many series does the Simpsons have?,['26']
1006,Which actor is playing Ted in How I Met Your Mother,['Josh Radnor']
1007,Which actor is playing Ted Mosby in How I Met Your Mother?,['Josh Radnor']
1008,Which actor is playing Khaleesi in Game of Thrones?,['Emilia Clarke']
1009,Which actress is playing Daenerys Targaryen in Game of Thrones?,['Emilia Clarke']
1010,Where was born Emma Watson?,"['Paris', 'France']"
1011,Where was born Peter Jackson?,['Wellington']
1012,Who is partner of Angelina Jolie?,['Brad Pitt']
1013,Who is the spouse of Angelina Jolie?,['Brad Pitt']
1014,What is the name of last episode of Breaking Bad?,['Felina']
1015,When did Once win The Academy Award for Best Original Song?,['2007']
1016,In what year did Once win The Academy Award for Best Original Song?,['2007']
1017,What movie featured song Falling Slowly?,['Once']
1018,Who directed Harry Potter and The Sorcerers Stone?,['Chris Columbus']
1019,Who is Jack Carter in Eureka?,"['Colin Ferguson', 'Town sheriff']"
1020,What is the Czech title of Eureka TV series?,['Heuréka: Město divů']
1021,Who wrote Harry Potter and the Prisoner of Azkaban?,['J. K. Rowling']
1022,Who is the director of Harry Potter and the Prisoner of Azkaban?,['Alfonso Cuarón']
1023,Who directed Lord of the Rings?,['Peter Jackson']
1024,Who acted in Matrix,"['Matt Doran', 'Carrie-Anne Moss', 'Keanu Reeves', 'Laurence Fishburne', 'Hugo Weaving', 'Joe Pantoliano']"
1025,What movie won the Oscar in the best movie category in 2005?,['Crash']
1026,Who directed Lord of the Rings?,['Peter Jackson']
1027,Who plays Fox Mulder?,['David Duchovny']
1028,Who plays Fox Mulder?,['David Duchovny']
1029,Who acted in The Englishman Who Went Up a Hill But Came Down a Mountain,"['Hugh Grant', 'Tara Fitzgerald', 'Colm Meaney', 'Ian McNeice']"
1030,Why almost all Jedi died?,"['They were killed in Great Jedi Purge.', 'Great Jedi Purge']"
1031,Who shot first,['Han Solo']
1032,Who wrote the score of Avengers?,['Alan Silvestri']
1033,when did Spielberg directed Schindlers list,['1993-11-30']
1034,Who produced The Matrix?,['Joel Silver']
1035,Who did the cinematography for Julius Caesar?,['Joseph Ruttenberg']
1036,Is Tom Cruise alive?,['Yes']
1037,When did Michael Jackson die?,['2009-06-25']
1038,who is tom hanks,['Actor']
1039,What is the subtitle of Star Wars episode VI?,['Return of the Jedi']
1040,Who wrote Game of Thrones?,"['David Benioff', 'D. B. Weiss', 'George R. R. Martin']"
1041,Who directed Braindead?,['Peter Jackson']
1042,Who played Harry Potter?,['Daniel Radcliffe']
1043,Who wrote Harry Potter?,['J. K. Rowling']
1044,Who played Hermionne Granger?,['Emma Watson']
1045,Who did play Neo in Matrix?,['Keanu Reeves']
1046,Who played Gandalf?,['Ian McKellen']
1047,Who did play Agent Smith in Matrix?,['Hugo Weaving']
1048,What does Jon Snow know?,['Nothing']
1049,When did Harry Potter come out?,"['November 14, 2001']"
1050,When was Matrix released?,['1999-03-31']
1051,When was Harry Potter released?,"['November 14, 2001', '2001-11-14']"
1052,Which actor was starring as Harry Potter?,['Daniel Radcliffe?']
1053,What movies did TOm Cruise play in?,"['Vanilla Sky', 'The Last Samurai', 'Days of Thunder']"
1054,Who is the hero in Terminator 2,['Arnold Schwarzenegger']
1055,When Godfather was released,"['March 15, 1972']"
1056,When was the Godfather filmed?,['1972']
1057,Who directed the Matrix?,"['Andy Wachowski', 'Larry Wachowski', 'Lana Wachowski']"
1058,What films are based on Macbeth?,"['Donalbain', 'Duncan I of Scotland', 'English Language', 'Throne of Blood']"
1059,Which star who also starred in Star Wars played Deckard in Blade Runner?,['Harrison Ford']
1060,Who played the Joker before The Dark Knight?,['Jack Nicholson']
1061,Which star played both the Joker and Jack Torrance in Stanley Kubrick's The Shining?,['Jack Nicholson']
1062,Which actor played Van Zant in The Heat?,['William Fichtner']
1063,Which actor starred both in Star Trek and several Shakespeare movies including Macbeth?,['Patrick Steward']
1064,Which TV series features yellow people?,['The Simpsons']
1065,Which TV series is Stewie Griffin known from?,['Family Guy']
1066,Which TV series is Moe Szyslak known from?,['The Simpsons']
1067,Which reality TV series has been accompanying police officers for 28 seasons?,['Cops']
1068,What is the name of the protagonist of 24?,['Jack Bauer']
1069,Which movie about a news mogul is often referred to as the best movie ever produced?,['Citizen Kane']
1070,Which band wrote and performed the theme music for CSI: Crime Scene Investigation?,['The Who']
1071,Who is the owner of a pawn shop in Las Vegas which got well-known through a TV series?,['Rick Harrison']
1072,Was Christian Bale in at least three Batman movies?,['yes']
1073,Which city did Blade Runner take place in?,['Los Angeles']
1074,When was Blade Runner released?,['1982-06-25']
1075,How many oscars did the Titanic movie with Leonardo Di Caprio win?,['11']
1076,Who directed and produced Titanic with Leonardo DiCaprio?,['James Cameron']
1077,When was The Shining released?,['1977-01']
1078,Which city did Blade Runner take place in?,['Los Angeles']
1079,who play in interstellar,"['Michael Caine', 'Matthew McConaughey', 'Matt Damon']"
